AirQualityStationEoICode,Concentration,DatetimeBegin
GB0682A,32.75,2013-12-06 00:00:00 +01:00
GB0682A,38.88,2013-12-07 00:00:00 +01:00
GB0682A,25.92,2013-12-08 00:00:00 +01:00
GB0682A,40.42,2013-12-09 00:00:00 +01:00
GB0682A,56.83,2013-12-10 00:00:00 +01:00
GB0682A,66.8,2013-12-11 00:00:00 +01:00
GB0682A,72.54,2013-12-12 00:00:00 +01:00
GB0682A,49.75,2013-12-13 00:00:00 +01:00
GB0682A,39.96,2013-12-14 00:00:00 +01:00
GB0682A,18.05,2013-12-15 00:00:00 +01:00
GB0682A,20.96,2013-12-16 00:00:00 +01:00
GB0682A,23.53,2013-12-17 00:00:00 +01:00
GB0682A,30.0,2013-12-18 00:00:00 +01:00
GB0682A,35.59,2013-12-19 00:00:00 +01:00
GB0682A,39.86,2013-12-20 00:00:00 +01:00
GB0682A,16.38,2013-12-21 00:00:00 +01:00
GB0682A,22.89,2013-12-22 00:00:00 +01:00
GB0682A,17.82,2013-12-23 00:00:00 +01:00
GB0682A,18.45,2013-12-24 00:00:00 +01:00
GB0682A,14.95,2013-12-25 00:00:00 +01:00
GB0682A,21.24,2013-12-26 00:00:00 +01:00
GB0682A,29.65,2013-12-27 00:00:00 +01:00
GB0682A,19.82,2013-12-28 00:00:00 +01:00
GB0682A,29.99,2013-12-29 00:00:00 +01:00
GB0682A,23.07,2013-12-30 00:00:00 +01:00
GB0682A,19.74,2013-12-31 00:00:00 +01:00
