Name,Latitude,Longitude
DEHE046,51.431,8.928
ES1443A,42.336,-3.636
BETN063,50.655,4.668
DEHB013,53.118,8.695
ES1417A,42.136,-0.404
DEMV031,54.177,12.098
GB1006A,50.917,-0.45
FR32007,46.802,4.418
DEBY124,49.444,10.325
IT2028A,38.105,15.639
ES1670A,39.559,-1.281
IT2064A,43.274,12.612
FR14203,49.159,3.913
IT1904A,44.763,9.052
ES1907A,43.302,-8.506
BETN060,50.617,3.458
IT1609A,40.521,17.217
IT1593A,42.779,11.119
GB1034A,52.412,-1.56
CH0005A,47.403,8.613
DEBY031,47.725,10.307
ES2022A,28.38,-16.368
ES2037A,40.383,0.709
HR0022A,43.511,16.449
BETN029,51.016,2.582
ES1671A,39.708,-0.832
NL00247,51.408,5.393
SK0004R,49.153,20.291
LT00002,54.686,25.211
FR10132,50.61,1.991
DENI041,52.17,9.063
GB0728A,51.544,0.678
ES0110A,43.303,-2.977
GB0583A,54.569,-1.221
DK0012R,55.694,12.089
FR23124,46.657,-0.744
PT03096,39.352,-8.466
DENI060,52.957,11.167
GB0837A,51.489,-0.442
IT2023A,42.745,11.865
DENI070,52.154,10.456
DEBB063,52.999,11.738
DETH060,50.653,10.669
ES1181A,39.481,-0.447
ES0007R,37.237,-3.534
FR23177,47.788,-0.444
FR05090,49.515,0.101
FR35023,45.264,1.764
GB0884A,51.463,-2.584
DESN076,51.304,13.009
ES1760A,28.112,-16.578
FR29428,45.422,4.413
GB0920A,51.745,-1.26
